[0504/182739.699:ERROR:process_info.cc(625)] range at 0xe9a3358600000000, size 0xcd fully unreadable
[0504/182807.646:ERROR:process_info.cc(625)] range at 0xe9a335a600000000, size 0xcd fully unreadable
[0504/182808.431:ERROR:process_info.cc(625)] range at 0x0, size 0xcd fully unreadable
[0504/183833.830:ERROR:process_info.cc(389)] NtQuerySystemInformation SystemExtendedHandleInformation: O comprimento do registro de informações especificado não coincide com o comprimento necessário à classe de informações especificada.  (0xc0000004)
[0504/211902.106:ERROR:process_info.cc(625)] range at 0x9978314000000000, size 0x65 fully unreadable
[0504/211902.134:ERROR:process_info.cc(625)] range at 0x9978316000000000, size 0x65 fully unreadable
[0504/211902.134:ERROR:process_info.cc(625)] range at 0x0, size 0x65 fully unreadable
[0504/211905.270:ERROR:process_info.cc(389)] NtQuerySystemInformation SystemExtendedHandleInformation: O comprimento do registro de informações especificado não coincide com o comprimento necessário à classe de informações especificada.  (0xc0000004)
[0505/072219.567:ERROR:process_info.cc(625)] range at 0x610e358800000000, size 0xfb fully unreadable
[0505/072219.919:ERROR:process_info.cc(625)] range at 0x610e35a800000000, size 0xfb fully unreadable
[0505/072219.920:ERROR:process_info.cc(625)] range at 0x0, size 0xfb fully unreadable
[0505/123341.632:ERROR:process_info.cc(389)] NtQuerySystemInformation SystemExtendedHandleInformation: O comprimento do registro de informações especificado não coincide com o comprimento necessário à classe de informações especificada.  (0xc0000004)
[0507/184256.991:ERROR:process_info.cc(625)] range at 0x6788314000000000, size 0xb3 fully unreadable
[0507/184257.006:ERROR:process_info.cc(625)] range at 0x6788316000000000, size 0xb3 fully unreadable
[0507/184257.006:ERROR:process_info.cc(625)] range at 0x0, size 0xb3 fully unreadable
[0507/184513.405:ERROR:process_info.cc(625)] range at 0x4e92314000000000, size 0x1 fully unreadable
[0507/184513.406:ERROR:process_info.cc(625)] range at 0x4e92316000000000, size 0x1 fully unreadable
[0507/184513.406:ERROR:process_info.cc(625)] range at 0x0, size 0x1 fully unreadable
[0507/185454.738:ERROR:process_info.cc(625)] range at 0xa3a5314000000000, size 0x3d fully unreadable
[0507/185454.738:ERROR:process_info.cc(625)] range at 0xa3a5316000000000, size 0x3d fully unreadable
[0507/185454.738:ERROR:process_info.cc(625)] range at 0x0, size 0x3d fully unreadable
[0507/185634.499:ERROR:process_info.cc(625)] range at 0xc5ec314000000000, size 0x98 fully unreadable
[0507/185634.500:ERROR:process_info.cc(625)] range at 0xc5ec316000000000, size 0x98 fully unreadable
[0507/185634.500:ERROR:process_info.cc(625)] range at 0x0, size 0x98 fully unreadable
[0507/185805.558:ERROR:process_info.cc(625)] range at 0x5d39314000000000, size 0x4c fully unreadable
[0507/185805.558:ERROR:process_info.cc(625)] range at 0x5d39316000000000, size 0x4c fully unreadable
[0507/185805.558:ERROR:process_info.cc(625)] range at 0x0, size 0x4c fully unreadable
[0507/190058.286:ERROR:process_info.cc(625)] range at 0xeb5b314000000000, size 0xdc fully unreadable
[0507/190058.286:ERROR:process_info.cc(625)] range at 0xeb5b316000000000, size 0xdc fully unreadable
[0507/190058.287:ERROR:process_info.cc(625)] range at 0x0, size 0xdc fully unreadable
[0507/192028.348:ERROR:process_info.cc(625)] range at 0x5ddd314000000000, size 0x74 fully unreadable
[0507/192028.349:ERROR:process_info.cc(625)] range at 0x5ddd316000000000, size 0x74 fully unreadable
[0507/192028.349:ERROR:process_info.cc(625)] range at 0x0, size 0x74 fully unreadable
[0507/192143.994:ERROR:process_info.cc(625)] range at 0xf063314000000000, size 0x2b fully unreadable
[0507/192143.994:ERROR:process_info.cc(625)] range at 0xf063316000000000, size 0x2b fully unreadable
[0507/192143.994:ERROR:process_info.cc(625)] range at 0x0, size 0x2b fully unreadable
[0507/192402.107:ERROR:process_info.cc(625)] range at 0xc03d314000000000, size 0x41 fully unreadable
[0507/192402.108:ERROR:process_info.cc(625)] range at 0xc03d316000000000, size 0x41 fully unreadable
[0507/192402.108:ERROR:process_info.cc(625)] range at 0x0, size 0x41 fully unreadable
[0507/192453.207:ERROR:process_info.cc(625)] range at 0xb37e314000000000, size 0x69 fully unreadable
[0507/192453.208:ERROR:process_info.cc(625)] range at 0xb37e316000000000, size 0x69 fully unreadable
[0507/192453.208:ERROR:process_info.cc(625)] range at 0x0, size 0x69 fully unreadable
[0508/051808.325:ERROR:process_info.cc(625)] range at 0x5141358800000000, size 0x1f fully unreadable
[0508/051810.349:ERROR:process_info.cc(625)] range at 0x514135a800000000, size 0x1f fully unreadable
[0508/051810.349:ERROR:process_info.cc(625)] range at 0x0, size 0x1f fully unreadable
[0509/163406.706:ERROR:process_info.cc(625)] range at 0x4099314000000000, size 0x9 fully unreadable
[0509/163406.731:ERROR:process_info.cc(625)] range at 0x4099316000000000, size 0x9 fully unreadable
[0509/163406.731:ERROR:process_info.cc(625)] range at 0x0, size 0x9 fully unreadable
[0509/191435.140:ERROR:process_info.cc(625)] range at 0x340c314000000000, size 0x97 fully unreadable
